zipcode,city,female,male
04820 Kaukalampi   ,M?nts?l? ,146,155
04840 Hautjärvi   ,M?nts?l? ,135,129
04920 Saarentaus   ,M?nts?l? ,166,178
04940 Levanto   ,M?nts?l? ,154,146
05100 Röykkä   ,Nurmij?rvi ,1138,1183
05200 Rajamäki   ,Nurmij?rvi ,3330,3412
05250 Kiljava   ,Nurmij?rvi ,105,87
05400 Jokela   ,Tuusula ,3272,3208
05430 Nuppulinna   ,Tuusula ,529,519
05440 Hyvinkää   ,Hyvink?? ,197,198
05450 Nukari   ,Nurmij?rvi ,540,561
05460 Hakalanmäki-Hakala   ,Hyvink?? ,1706,1608
05470 Palopuro   ,Hyvink?? ,154,169
05510 Päivärinta   ,Hyvink?? ,229,229
05620 Noppo   ,Hyvink?? ,658,684
05720 Kytäjä   ,Hyvink?? ,270,289
05800 Hyvinkää Keskus   ,Hyvink?? ,5173,4288
05810 Martti   ,Hyvink?? ,2908,2831
05820 Mustamännistö   ,Hyvink?? ,2548,2657
05830 Kirjavatolppa-Kruununpuisto   ,Hyvink?? ,3700,3521
05840 Hyvinkäänkylä-Vehkoja   ,Hyvink?? ,1918,1866
"05850 Hyvinkää, sairaala-alue   ",Hyvink?? ,0,0
05860 Talvisilta   ,Hyvink?? ,696,738
05880 Paavola-Vaivero   ,Hyvink?? ,1763,1674
05900 Vieremä   ,Hyvink?? ,2114,1838
05950 Ridasjärvi   ,Hyvink?? ,179,212
06100 Porvoo Keskus   ,Porvoo ,9873,8639
06150 Kevätkumpu   ,Porvoo ,3009,2819
06200 Porvoo itäinen   ,Porvoo ,1277,1353
06400 Gammelbacka   ,Porvoo ,3592,3541
06450 Eestinmäki-Ernestas   ,Porvoo ,1025,1000
06500 Saksala-Suomenkylä   ,Porvoo ,1046,1116
06530 Kerkkoo   ,Porvoo ,410,419
06650 Hamari   ,Porvoo ,694,774
06750 Tolkkinen   ,Porvoo ,893,911
06830 Kulloonkylä   ,Porvoo ,540,565
06850 Kulloo   ,Porvoo ,0,0
06880 Kärrby   ,Sipoo ,164,186
06950 Emäsalo   ,Porvoo ,201,182
07110 Hinthaara   ,Porvoo ,755,796
07130 Anttila   ,Porvoo ,329,340
07150 Laukkoski   ,Pornainen ,496,498
07170 Keski-Pornainen   ,Pornainen ,1272,1265
07190 Halkia   ,Pornainen ,702,749
07220 Kaarenkylä   ,Porvoo ,147,161
07230 Monninkylä   ,Askola ,822,797
07280 Ilola   ,Porvoo ,443,489
07310 Sannainen   ,Porvoo ,208,212
07320 Jakari-Sannäs   ,Porvoo ,212,230
07350 Gäddrag   ,Porvoo ,40,47
07360 Tirmo   ,Porvoo ,17,27
07370 Pellinki   ,Porvoo ,66,69
07390 Suurpellinki   ,Porvoo ,56,70
07410 Kråkö   ,Porvoo ,165,153
07450 Voolahti   ,Porvoo ,219,205
07500 Askola Kirkonkylä   ,Askola ,607,563
07510 Vakkola   ,Askola ,330,365
07530 Onkimaa   ,Askola ,148,159
07550 Torpinkylä   ,Pukkila ,153,152
07560 Pukkila Keskus   ,Pukkila ,685,676
07565 Kantele   ,Pukkila ,122,146
07580 Tiilää   ,Askola ,31,39
07590 Huuvari-Tiilää   ,Askola ,311,326
07600 Myrskylä Keskus   ,Myrskyl? ,876,842
07680 Juornaankylä   ,Askola ,267,287
07690 Kankkila   ,Myrskyl? ,68,67
07700 Koskenkylän saha-alue   ,Loviisa ,593,632
07720 Malmgård   ,Loviisa ,43,37
07740 Gammelby   ,Loviisa ,202,211
07750 Isnäs   ,Loviisa ,267,281
07780 Härkäpää   ,Loviisa ,81,94
07800 Lapinjärvi Keskus   ,Lapinj?rvi ,485,418
07810 Ingermaninkylä   ,Lapinj?rvi ,130,150
07820 Porlammi   ,Lapinj?rvi ,253,252
07830 Pukaro   ,Lapinj?rvi ,133,157
07840 Lindkoski   ,Lapinj?rvi ,105,102
07850 Heikinkylä   ,Lapinj?rvi ,144,167
07870 Skinnarby   ,Loviisa ,216,245
07880 Liljendal Keskus   ,Loviisa ,528,503
07890 Mickelspiltom   ,Loviisa ,100,101
07900 Loviisa Keskus   ,Loviisa ,2223,1896
07910 Valko   ,Loviisa ,519,618
07920 Etelä-Harju   ,Loviisa ,679,728
07930 Pernaja Kirkonkylä   ,Loviisa ,322,335
07940 Määrlahti   ,Loviisa ,493,496
07945 Kuggom   ,Loviisa ,249,243
07955 Tesjoki   ,Loviisa ,598,622
07960 Ahvenkoski   ,Loviisa ,60,65
07970 Ruotsinpyhtää Keskus   ,Loviisa ,277,288
